% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
63737 +2.431030590e-002 +2.431030590e-002 +1.491743103e+002 +1.491743103e+002 -5.3846e-002 -3.6819e-001 +1.8308e-002 +1.8519e+000 -2.7337e+000 -1.1874e+000 -8.1025e-001 -1.0728e+000 +9.3613e-002 +5.0817e-001 -1.6763e+000 +7.7124e-001 +2.7404e+000 -5.6250e-001 -6.9456e-001 -4.7984e-001 +1.3505e-001 +6.1457e-001 -1.8355e+000 -2.9152e+000
64627 +1.548901380e-002 +1.548901380e-002 +1.491654890e+002 +1.491654890e+002 -5.1013e-002 -3.6762e-001 +2.0566e-002 +1.8522e+000 -2.7337e+000 -1.1870e+000 -8.0957e-001 -1.0711e+000 +9.2724e-002 +5.0964e-001 -1.6740e+000 +7.7372e-001 +2.7405e+000 -5.6250e-001 -6.9349e-001 -4.8013e-001 +1.3128e-001 +6.0961e-001 -1.8442e+000 -2.9348e+000
65200 +9.597861958e-003 +9.597861958e-003 +1.491595979e+002 +1.491595979e+002 -5.2473e-002 -3.6785e-001 +2.0695e-002 +1.8520e+000 -2.7335e+000 -1.1867e+000 -8.0925e-001 -1.0715e+000 +9.2306e-002 +5.0921e-001 -1.6737e+000 +7.7598e-001 +2.7406e+000 -5.6336e-001 -6.9477e-001 -4.8000e-001 +1.3230e-001 +6.1203e-001 -1.8395e+000 -2.9253e+000
66177 +6.061144090e-003 +6.061144090e-003 +1.491560611e+002 +1.491560611e+002 -5.3613e-002 -3.6844e-001 +2.0492e-002 +1.8518e+000 -2.7337e+000 -1.1867e+000 -8.0875e-001 -1.0711e+000 +9.2606e-002 +5.1051e-001 -1.6735e+000 +7.7530e-001 +2.7408e+000 -5.6272e-001 -6.9479e-001 -4.7952e-001 +1.3380e-001 +6.1350e-001 -1.8389e+000 -2.9229e+000
67271 +3.963405679e-003 +3.963405679e-003 +1.491539634e+002 +1.491539634e+002 -5.4998e-002 -3.7018e-001 +1.9718e-002 +1.8517e+000 -2.7337e+000 -1.1861e+000 -8.0843e-001 -1.0711e+000 +9.2081e-002 +5.1044e-001 -1.6729e+000 +7.7608e-001 +2.7414e+000 -5.6323e-001 -6.9511e-001 -4.7928e-001 +1.3495e-001 +6.1501e-001 -1.8347e+000 -2.9145e+000
68309 +2.431690367e-003 +2.431690367e-003 +1.491524317e+002 +1.491524317e+002 -5.5162e-002 -3.7033e-001 +2.0032e-002 +1.8516e+000 -2.7350e+000 -1.1863e+000 -8.0880e-001 -1.0710e+000 +9.1912e-002 +5.1041e-001 -1.6726e+000 +7.7653e-001 +2.7419e+000 -5.6261e-001 -6.9494e-001 -4.7924e-001 +1.3482e-001 +6.1544e-001 -1.8344e+000 -2.9144e+000
69460 +1.582521892e-003 +1.582521892e-003 +1.491515825e+002 +1.491515825e+002 -5.5287e-002 -3.7071e-001 +1.9284e-002 +1.8505e+000 -2.7357e+000 -1.1869e+000 -8.0891e-001 -1.0710e+000 +9.2500e-002 +5.1066e-001 -1.6722e+000 +7.7646e-001 +2.7418e+000 -5.6222e-001 -6.9475e-001 -4.7864e-001 +1.3529e-001 +6.1586e-001 -1.8335e+000 -2.9127e+000
71250 +9.210138533e-004 +9.210138533e-004 +1.491509210e+002 +1.491509210e+002 -5.5381e-002 -3.7137e-001 +1.8936e-002 +1.8502e+000 -2.7361e+000 -1.1872e+000 -8.0932e-001 -1.0709e+000 +9.2268e-002 +5.1060e-001 -1.6723e+000 +7.7680e-001 +2.7420e+000 -5.6191e-001 -6.9394e-001 -4.7769e-001 +1.3744e-001 +6.2000e-001 -1.8254e+000 -2.8969e+000
71594 +6.135446849e-004 +6.135446849e-004 +1.491506135e+002 +1.491506135e+002 -5.5428e-002 -3.7112e-001 +1.8960e-002 +1.8500e+000 -2.7363e+000 -1.1871e+000 -8.0943e-001 -1.0709e+000 +9.2418e-002 +5.1043e-001 -1.6723e+000 +7.7698e-001 +2.7420e+000 -5.6188e-001 -6.9374e-001 -4.7684e-001 +1.3942e-001 +6.2395e-001 -1.8183e+000 -2.8830e+000
72116 +3.950058145e-004 +3.950058145e-004 +1.491503950e+002 +1.491503950e+002 -5.5368e-002 -3.7088e-001 +1.9163e-002 +1.8505e+000 -2.7361e+000 -1.1870e+000 -8.0902e-001 -1.0709e+000 +9.2548e-002 +5.1061e-001 -1.6723e+000 +7.7698e-001 +2.7421e+000 -5.6173e-001 -6.9331e-001 -4.7609e-001 +1.4080e-001 +6.2657e-001 -1.8126e+000 -2.8712e+000
72620 +2.452801865e-004 +2.452801865e-004 +1.491502453e+002 +1.491502453e+002 -5.5319e-002 -3.7064e-001 +1.9330e-002 +1.8505e+000 -2.7359e+000 -1.1868e+000 -8.0913e-001 -1.0709e+000 +9.2563e-002 +5.1061e-001 -1.6722e+000 +7.7685e-001 +2.7423e+000 -5.6146e-001 -6.9301e-001 -4.7501e-001 +1.4272e-001 +6.3022e-001 -1.8058e+000 -2.8580e+000
73406 +1.582955813e-004 +1.582955813e-004 +1.491501583e+002 +1.491501583e+002 -5.5284e-002 -3.7079e-001 +1.9267e-002 +1.8505e+000 -2.7359e+000 -1.1868e+000 -8.0915e-001 -1.0708e+000 +9.2500e-002 +5.1068e-001 -1.6723e+000 +7.7681e-001 +2.7423e+000 -5.6127e-001 -6.9279e-001 -4.7518e-001 +1.4263e-001 +6.3026e-001 -1.8055e+000 -2.8572e+000
74170 +9.626814540e-005 +9.626814540e-005 +1.491500963e+002 +1.491500963e+002 -5.5270e-002 -3.7075e-001 +1.9363e-002 +1.8505e+000 -2.7357e+000 -1.1871e+000 -8.0922e-001 -1.0708e+000 +9.2482e-002 +5.1052e-001 -1.6724e+000 +7.7675e-001 +2.7424e+000 -5.6116e-001 -6.9263e-001 -4.7496e-001 +1.4257e-001 +6.3020e-001 -1.8053e+000 -2.8571e+000
74885 +6.239370057e-005 +6.239370057e-005 +1.491500624e+002 +1.491500624e+002 -5.5229e-002 -3.7077e-001 +1.9373e-002 +1.8505e+000 -2.7359e+000 -1.1873e+000 -8.0934e-001 -1.0709e+000 +9.2487e-002 +5.1068e-001 -1.6724e+000 +7.7678e-001 +2.7426e+000 -5.6119e-001 -6.9254e-001 -4.7488e-001 +1.4283e-001 +6.3082e-001 -1.8043e+000 -2.8549e+000
75436 +3.837713709e-005 +3.837713709e-005 +1.491500384e+002 +1.491500384e+002 -5.5198e-002 -3.7085e-001 +1.9237e-002 +1.8505e+000 -2.7359e+000 -1.1873e+000 -8.0929e-001 -1.0708e+000 +9.2465e-002 +5.1052e-001 -1.6723e+000 +7.7685e-001 +2.7426e+000 -5.6111e-001 -6.9253e-001 -4.7461e-001 +1.4336e-001 +6.3187e-001 -1.8023e+000 -2.8511e+000
76082 +2.053529124e-005 +2.053529124e-005 +1.491500205e+002 +1.491500205e+002 -5.5213e-002 -3.7081e-001 +1.9227e-002 +1.8505e+000 -2.7359e+000 -1.1874e+000 -8.0933e-001 -1.0709e+000 +9.2463e-002 +5.1057e-001 -1.6723e+000 +7.7687e-001 +2.7426e+000 -5.6110e-001 -6.9241e-001 -4.7461e-001 +1.4350e-001 +6.3207e-001 -1.8018e+000 -2.8499e+000
76473 +1.476031633e-005 +1.476031633e-005 +1.491500148e+002 +1.491500148e+002 -5.5234e-002 -3.7080e-001 +1.9180e-002 +1.8505e+000 -2.7359e+000 -1.1874e+000 -8.0937e-001 -1.0710e+000 +9.2453e-002 +5.1058e-001 -1.6723e+000 +7.7692e-001 +2.7425e+000 -5.6107e-001 -6.9239e-001 -4.7457e-001 +1.4350e-001 +6.3199e-001 -1.8021e+000 -2.8505e+000
77299 +9.960430418e-006 +9.960430418e-006 +1.491500100e+002 +1.491500100e+002 -5.5225e-002 -3.7079e-001 +1.9285e-002 +1.8505e+000 -2.7359e+000 -1.1873e+000 -8.0937e-001 -1.0709e+000 +9.2449e-002 +5.1059e-001 -1.6723e+000 +7.7693e-001 +2.7426e+000 -5.6106e-001 -6.9238e-001 -4.7452e-001 +1.4357e-001 +6.3210e-001 -1.8018e+000 -2.8501e+000
77821 +6.229612666e-006 +6.229612666e-006 +1.491500062e+002 +1.491500062e+002 -5.5219e-002 -3.7078e-001 +1.9223e-002 +1.8505e+000 -2.7360e+000 -1.1874e+000 -8.0937e-001 -1.0710e+000 +9.2428e-002 +5.1061e-001 -1.6722e+000 +7.7697e-001 +2.7426e+000 -5.6103e-001 -6.9243e-001 -4.7456e-001 +1.4350e-001 +6.3203e-001 -1.8019e+000 -2.8503e+000
78713 +3.547325662e-006 +3.547325662e-006 +1.491500035e+002 +1.491500035e+002 -5.5212e-002 -3.7079e-001 +1.9254e-002 +1.8505e+000 -2.7360e+000 -1.1874e+000 -8.0941e-001 -1.0710e+000 +9.2430e-002 +5.1062e-001 -1.6722e+000 +7.7699e-001 +2.7426e+000 -5.6101e-001 -6.9241e-001 -4.7458e-001 +1.4343e-001 +6.3186e-001 -1.8023e+000 -2.8510e+000
79451 +2.508149237e-006 +2.508149237e-006 +1.491500025e+002 +1.491500025e+002 -5.5206e-002 -3.7077e-001 +1.9237e-002 +1.8505e+000 -2.7360e+000 -1.1874e+000 -8.0940e-001 -1.0710e+000 +9.2421e-002 +5.1061e-001 -1.6722e+000 +7.7700e-001 +2.7426e+000 -5.6101e-001 -6.9238e-001 -4.7458e-001 +1.4342e-001 +6.3181e-001 -1.8024e+000 -2.8512e+000
79906 +1.547555598e-006 +1.547555598e-006 +1.491500015e+002 +1.491500015e+002 -5.5205e-002 -3.7077e-001 +1.9204e-002 +1.8504e+000 -2.7360e+000 -1.1874e+000 -8.0941e-001 -1.0710e+000 +9.2423e-002 +5.1061e-001 -1.6722e+000 +7.7701e-001 +2.7426e+000 -5.6099e-001 -6.9239e-001 -4.7458e-001 +1.4343e-001 +6.3186e-001 -1.8023e+000 -2.8510e+000
80079 +9.887212968e-007 +9.887212968e-007 +1.491500010e+002 +1.491500010e+002 -5.5200e-002 -3.7077e-001 +1.9221e-002 +1.8504e+000 -2.7360e+000 -1.1874e+000 -8.0941e-001 -1.0710e+000 +9.2422e-002 +5.1061e-001 -1.6722e+000 +7.7701e-001 +2.7426e+000 -5.6099e-001 -6.9239e-001 -4.7459e-001 +1.4342e-001 +6.3184e-001 -1.8023e+000 -2.8510e+000
