% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2114 +9.947214116e+000 +9.947214116e+000 -1.206627859e+002 -1.206627859e+002 +4.9934e+000 +1.3840e+000 +3.6356e+000 +2.4166e+000 +2.3652e+000 +4.6551e+000 +5.5249e+000 +5.8905e+000 +4.6743e+000 +4.4722e+000 +2.5571e+000 +5.4828e+000 +5.1966e+000 +6.6644e+000 +5.2612e+000 +2.4447e+000 -3.4427e+000 +5.5999e+000 +5.0348e+000 +2.7915e+000
4986 +6.183894158e+000 +6.183894158e+000 -1.244261058e+002 -1.244261058e+002 +4.8665e+000 +1.9537e+000 +3.7756e+000 +3.1305e+000 +3.1275e+000 +3.7641e+000 +5.1965e+000 +5.5164e+000 +4.0586e+000 +4.4422e+000 +2.4699e+000 +5.5677e+000 +5.3677e+000 +6.3113e+000 +4.8463e+000 +3.3978e+000 -2.2614e+000 +5.6162e+000 +4.8278e+000 +2.3660e+000
% function evaluation | noise-free fitness - Fopt (-2.231200000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.352227381e+002 +5.352227381e+002 +3.121027381e+002 +3.121027381e+002 +1.2262e+001 +6.5026e+000 +6.1881e+000 +7.4066e+000 +9.8223e+000 +1.0265e+001 +8.8000e+000 +1.2231e+001 +1.0806e+001 +1.3680e+001 +1.1630e+001 +6.3279e+000 +1.0072e+001 +8.1466e+000 +9.8288e+000 +1.0583e+001 +5.0826e+000 +6.3940e+000 +5.6401e+000 +1.4314e+001
11 +3.932102859e+002 +3.932102859e+002 +1.700902859e+002 +1.700902859e+002 +7.1765e+000 +5.0783e+000 +9.8454e+000 +7.3343e+000 +5.5913e+000 +7.5177e+000 +7.0981e+000 +7.2735e+000 +1.3032e+001 +5.5422e+000 +1.0500e+001 +9.0280e+000 +7.1660e+000 +1.2119e+001 +7.5816e+000 +1.2999e+001 +7.3104e+000 +7.1831e+000 +1.2675e+001 +9.2807e+000
295 +2.508478946e+002 +2.508478946e+002 +2.772789461e+001 +2.772789461e+001 +6.1609e+000 +6.1046e+000 +7.7188e+000 +1.2155e+001 +8.4248e+000 +6.6993e+000 +5.5285e+000 +9.7769e+000 +1.0108e+001 +4.6110e-001 +3.8803e+000 +7.8068e+000 +5.5814e+000 +1.0973e+001 +7.8020e+000 +6.6206e+000 +7.1345e+000 +8.3350e+000 +1.0715e+001 +8.8443e+000
999 +1.320788558e+002 +1.320788558e+002 -9.104114418e+001 -9.104114418e+001 +7.7839e+000 +6.0822e+000 +5.4890e+000 +3.9749e+000 +4.2511e+000 +3.8183e+000 +7.0443e+000 +8.0171e+000 +9.2197e+000 +1.0180e+001 +2.8891e+000 +3.3583e+000 +4.3088e+000 +5.7791e+000 +7.5701e+000 +7.5711e+000 +7.1293e+000 +6.9553e+000 +9.9769e+000 +9.3462e-002
1123 +9.580718248e+001 +9.580718248e+001 -1.273128175e+002 -1.273128175e+002 +8.3657e+000 +1.4472e+000 +7.5199e+000 +7.6143e+000 +6.7984e+000 +1.2087e+000 +1.7751e+000 +4.7491e+000 +7.4385e+000 +6.2954e+000 +3.5967e+000 +7.5714e-001 +6.7880e+000 +6.7156e+000 +9.2168e+000 +8.4999e+000 +4.6224e+000 +6.0135e+000 +8.2199e+000 +5.5645e+000
1345 +5.835865552e+001 +5.835865552e+001 -1.647613445e+002 -1.647613445e+002 +5.6179e+000 +1.9858e+000 +6.0392e+000 +4.3466e+000 +6.2828e+000 +3.6069e+000 +2.6174e+000 +6.3150e+000 +8.2592e+000 +5.6427e+000 +4.9449e-001 +1.3544e+000 +4.0848e+000 +5.6493e+000 +4.9094e+000 +8.8965e+000 +3.8074e+000 +5.1954e+000 +8.8526e+000 +3.8156e+000
1596 +3.037588485e+001 +3.037588485e+001 -1.927441151e+002 -1.927441151e+002 +6.8641e+000 +3.0191e-001 +5.6914e+000 +2.8226e+000 +6.7687e+000 +7.9986e-001 +3.3938e+000 +3.8377e+000 +5.6914e+000 +5.7506e+000 +1.3828e+000 +7.8162e-001 +4.2085e+000 +6.7155e+000 +4.9741e+000 +7.9566e+000 +4.4207e+000 +4.9229e+000 +7.0826e+000 +3.6633e+000
