% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.156800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.234647735e+005 +1.234647735e+005 +1.235804535e+005 +1.235804535e+005 +1.4558e+001 +1.2252e+001 +1.0879e+001 +1.1057e+001 +5.4274e+000 +8.4025e+000 +1.0720e+001 +1.1844e+001 +7.5379e+000 +6.1955e+000 +6.2605e+000 +5.7129e+000 +1.0243e+001 +6.0422e+000 +7.5764e+000 +5.0475e+000 +1.3937e+001 +1.3067e+001 +6.3532e+000 +1.0152e+001
3 +5.779934273e+004 +5.779934273e+004 +5.791502273e+004 +5.791502273e+004 +8.4424e+000 +1.1049e+001 +1.0169e+001 +1.2574e+001 +6.5856e+000 +5.2882e+000 +5.0688e+000 +1.3294e+001 +1.4639e+001 +6.6608e+000 +1.3492e+001 +6.8080e+000 +1.1232e+001 +5.9272e+000 +5.7829e+000 +1.0857e+001 +1.0152e+001 +6.6140e+000 +1.2492e+001 +5.3068e+000
288 +3.490512890e+004 +3.490512890e+004 +3.502080890e+004 +3.502080890e+004 +8.9239e+000 +1.8470e+001 +1.5314e+001 +1.0557e+001 +6.9022e+000 +7.5907e+000 +1.4000e+001 +9.7629e+000 +1.0801e+001 +8.6887e+000 +6.6987e+000 +8.9071e+000 +6.2549e+000 +6.6845e+000 +5.9927e+000 +5.6398e+000 +1.0646e+001 +1.0645e+001 +6.4665e+000 +5.2812e+000
562 +1.828817127e+004 +1.828817127e+004 +1.840385127e+004 +1.840385127e+004 +1.2672e+001 +1.7164e+001 +1.0201e+001 +7.2416e+000 +4.5709e+000 +1.0511e+001 +1.6903e+000 +1.2255e+001 +7.7528e+000 +1.0088e+001 +9.9009e+000 +7.9963e+000 +2.2555e+000 +5.8314e+000 +6.5797e+000 +6.0034e+000 +4.2853e+000 +9.3797e+000 +4.5332e+000 +5.5848e+000
750 +1.544934812e+004 +1.544934812e+004 +1.556502812e+004 +1.556502812e+004 +1.3086e+001 +1.6212e+001 +1.0417e+001 +1.1165e+001 +8.8399e+000 +8.3659e+000 +3.2151e+000 +8.6981e+000 +8.7242e+000 +7.8579e+000 +1.0104e+001 +6.7184e+000 +3.2332e+000 +7.0274e+000 +5.4310e+000 +7.1828e+000 +1.8402e+000 +5.3151e+000 +5.0673e+000 +5.0511e+000
884 +9.493479935e+003 +9.493479935e+003 +9.609159935e+003 +9.609159935e+003 +1.2987e+001 +1.8893e+001 +7.5109e+000 +9.7076e+000 +5.8398e+000 +7.3195e+000 +1.4976e+000 +1.0741e+001 +8.0984e+000 +7.9392e+000 +8.5394e+000 +5.9667e+000 +9.7306e-001 +2.5073e+000 +2.4485e+000 +5.8481e+000 +2.9501e+000 +7.1570e+000 +2.0119e+000 +4.6494e+000
1074 +5.805507742e+003 +5.805507742e+003 +5.921187742e+003 +5.921187742e+003 +1.4153e+001 +1.7379e+001 +8.9733e+000 +1.0122e+001 +5.8558e+000 +5.8880e+000 -1.9667e+000 +1.0947e+001 +5.1940e+000 +7.7610e+000 +7.7563e+000 +4.8527e+000 -2.8477e-001 +2.3982e+000 +1.4096e+000 +3.3947e+000 -1.1272e+000 +6.7385e+000 -6.2606e-002 +3.8188e+000
1341 +3.976823723e+003 +3.976823723e+003 +4.092503723e+003 +4.092503723e+003 +1.6804e+001 +1.4392e+001 +8.1786e+000 +1.0109e+001 +7.5059e+000 +2.3118e+000 -3.0056e-001 +1.0702e+001 -1.2155e-001 +7.0657e+000 +5.1765e+000 +3.7583e+000 -1.6016e+000 -9.6301e-002 +4.0065e-002 -2.2274e-002 -6.0713e+000 +6.0038e+000 -2.8829e+000 +2.1827e+000
1712 +2.504994446e+003 +2.504994446e+003 +2.620674446e+003 +2.620674446e+003 +1.6940e+001 +1.1641e+001 +7.3769e+000 +9.5939e+000 +3.5282e+000 +1.7608e+000 -9.1237e-001 +1.0156e+001 -9.2143e-001 +4.6795e+000 +4.9375e+000 +2.3220e+000 -1.3371e+000 +6.5751e-001 -1.7860e-002 -2.2885e+000 -5.2174e+000 +5.4280e+000 +1.4295e+000 +1.7189e+000
2086 +1.581557748e+003 +1.581557748e+003 +1.697237748e+003 +1.697237748e+003 +1.7701e+001 +9.4154e+000 +7.0819e+000 +8.8168e+000 +1.6860e+000 -1.5013e+000 -1.9418e+000 +6.6701e+000 -3.3177e+000 +3.7971e+000 +5.2694e+000 +2.0283e+000 -1.9800e+000 +1.6596e+000 -3.2836e+000 -2.3467e+000 -6.4071e+000 +5.7795e+000 +9.7311e-001 +8.4076e-001
2615 +9.839853857e+002 +9.839853857e+002 +1.099665386e+003 +1.099665386e+003 +1.6339e+001 +7.6069e+000 +5.1050e+000 +6.1048e+000 +9.1025e-001 -3.7004e-001 -2.3979e+000 +5.9164e+000 -2.6078e+000 +1.6303e+000 +4.7557e+000 +9.0957e-001 -1.6378e+000 +2.6310e+000 -2.2576e+000 -2.1974e+000 -2.3639e+000 +4.6618e+000 +3.1694e+000 +1.7718e-001
4418 +6.280948773e+002 +6.280948773e+002 +7.437748773e+002 +7.437748773e+002 +1.6037e+001 +5.2978e+000 +4.3142e+000 +5.4039e+000 +5.4540e-001 -2.4771e+000 -2.3458e+000 +5.1703e+000 -2.8596e+000 -3.0512e-001 +4.2796e+000 -2.1409e-001 -1.8597e+000 +2.1293e+000 -2.4699e+000 -2.3308e+000 -1.1890e+000 +4.6963e+000 +3.3793e+000 -3.0690e-002
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.052566551e+005 +1.052566551e+005 +1.052529451e+005 +1.052529451e+005 +1.1449e+001 +5.7560e+000 +1.1660e+001 +1.4551e+001 +1.0192e+001 +1.1013e+001 +1.1679e+001 +6.7170e+000 +1.0527e+001 +1.4743e+001 +1.4627e+001 +1.1535e+001 +1.3953e+001 +1.0985e+001 +1.2089e+001 +5.4001e+000 +1.2926e+001 +1.0286e+001 +7.6939e+000 +8.6932e+000
7 +7.094370753e+004 +7.094370753e+004 +7.093999753e+004 +7.093999753e+004 +1.3390e+001 +1.0916e+001 +5.6475e+000 +1.0486e+001 +6.3930e+000 +1.2727e+001 +1.0732e+001 +1.3591e+001 +6.3199e+000 +9.1471e+000 +8.5968e+000 +8.9152e+000 +6.5916e+000 +1.1080e+001 +7.0090e+000 +6.7604e+000 +1.3060e+001 +9.1957e+000 +1.4569e+001 +5.5118e+000
9 +5.149480137e+004 +5.149480137e+004 +5.149109137e+004 +5.149109137e+004 +9.9512e+000 +7.5017e+000 +7.1841e+000 +7.4543e+000 +7.3173e+000 +8.9642e+000 +5.3211e+000 +1.1337e+001 +5.0265e+000 +1.1732e+001 +5.6257e+000 +7.4829e+000 +9.5174e+000 +7.0537e+000 +9.8900e+000 +7.1083e+000 +1.2341e+001 +7.5075e+000 +1.0587e+001 +7.6254e+000
234 +3.785483139e+004 +3.785483139e+004 +3.785112139e+004 +3.785112139e+004 +1.2581e+001 +1.5718e+000 +7.2582e+000 +1.1790e+001 +1.3084e+001 +7.6539e+000 +7.3608e+000 +1.1487e+001 +1.6295e+001 +1.3683e+001 +5.5612e-001 +1.2589e+001 +1.4160e+001 +1.0455e+001 +8.0829e+000 +2.5415e+000 +8.4190e+000 +6.6915e+000 +6.1949e+000 +4.0507e+000
522 +2.378880570e+004 +2.378880570e+004 +2.378509570e+004 +2.378509570e+004 +9.1948e+000 +9.8607e+000 +1.0213e+001 +7.6384e+000 +6.5541e+000 +1.2226e+001 +8.9332e-001 +1.2902e+001 +1.0782e+001 +9.4197e+000 +1.3355e+001 +7.6836e+000 +1.1726e+001 +4.8010e+000 +5.4991e+000 +6.5078e+000 +1.1605e+001 +7.6468e+000 +1.4586e+000 +9.5314e-002
725 +1.206520475e+004 +1.206520475e+004 +1.206149475e+004 +1.206149475e+004 +9.6944e+000 +5.5306e+000 +1.0157e+001 +1.9803e+000 +1.2205e+001 +1.3103e+001 +7.7228e+000 +1.1224e+001 +8.6061e+000 +9.3441e+000 +8.6457e+000 +3.9590e+000 +9.3719e+000 -1.3709e+000 +3.0861e+000 +5.1307e+000 +5.1100e+000 +8.7676e+000 +4.5419e+000 -3.6805e+000
839 +9.777812447e+003 +9.777812447e+003 +9.774102447e+003 +9.774102447e+003 +8.3859e+000 +6.4494e+000 +1.0540e+001 +1.0032e+001 +7.6352e+000 +1.3872e+001 +6.7991e+000 +1.0887e+001 +7.9777e+000 +7.7019e+000 +1.0339e+001 +4.9005e+000 +9.6671e+000 -5.9419e+000 +3.5547e+000 +3.6604e+000 +3.9659e+000 +8.2479e+000 +5.6155e+000 -1.0565e+000
1068 +5.882471921e+003 +5.882471921e+003 +5.878761921e+003 +5.878761921e+003 +7.5118e+000 +9.8298e+000 +1.2160e+001 +1.0411e+001 +4.5635e+000 +1.3749e+001 +7.6200e+000 +9.3523e+000 +8.5466e+000 +7.0141e+000 +9.5165e+000 +3.3049e+000 +6.9499e+000 -7.8469e+000 +3.1574e+000 +8.3897e-001 +4.2999e+000 +7.4080e+000 +5.7071e+000 -1.3861e+000
